loss,lr,train_precision_macro,train_recall_macro,train_f1_macro,valid_precision_macro,valid_recall_macro,valid_f1_macro
0.16789206842937143,0.002,0.7046970875638526,0.8899690693929803,0.6917376173689308,0.7266657798699616,0.8757429392240008,0.7102467934440895
0.01125300372484177,0.002,0.7845333655551491,0.998200156208335,0.8258500325040303,0.8137424801270863,0.9972759989932831,0.8452471870107952
0.007925059770385963,0.002,0.7495187248152333,0.8975142452194893,0.73740077214819,0.7503954704641074,0.8902960784786746,0.7400036159672791
0.006398211870985655,0.002,0.7649834008235928,0.8748143439781313,0.7319285276958247,0.7634119677667041,0.8847229442302706,0.7401026248237467
0.005281089562791777,0.002,0.7561179970397996,0.9177691027926942,0.7567448470263964,0.805100220345182,0.931959465051523,0.803240853971296
0.004667599423384052,0.002,0.8094591632132229,0.998139643025442,0.8491414503535769,0.8379323895030498,0.9984048796366353,0.8690736064725725
0.0047093312864381,0.002,0.7210914438068512,0.8948674253926094,0.7077278334290604,0.7667043377179855,0.8911130138388061,0.7349295118834692
0.004131858142274488,0.002,0.8201849175428257,0.9983511721100351,0.866003797692227,0.8533935326141924,0.9983461159343343,0.8957037648276064
0.003821771051468714,0.002,0.8002089726983629,0.9975218187054733,0.8417552891389486,0.8317797301526073,0.9982112885949471,0.8603650436620977
0.003794206705418476,0.002,0.8401478607020796,0.9990019058621735,0.8835506407292503,0.8896949354334541,0.9987241939817769,0.9304922615789071
0.0036208746858119767,0.002,0.8134087905537656,0.9981532708324602,0.8585531889319848,0.8538450110913687,0.9983092481913536,0.896937158849751
0.003478948908952977,0.002,0.8165281254138413,0.9979041945527496,0.8665823756303084,0.8594770950523761,0.998256120910238,0.9009137878336546
0.0036916567874556204,0.002,0.8313395697446413,0.998743546350656,0.8736399405477011,0.8704071395333852,0.9985137585987707,0.9094429761909314
0.0034399697270650377,0.002,0.8569915357294133,0.99953120176655,0.8963474952227203,0.919501310369876,0.9996301442237321,0.9507325537589655
0.0032322207644251972,0.002,0.8528460831465836,0.999516635697091,0.8924436513070841,0.9214270187159839,0.9995369582835795,0.9519063696623876
0.0033042415616207333,0.002,0.8494127052169644,0.9990201737586938,0.8941711739599278,0.9377518039633468,0.9987209352452029,0.9662871845669004
0.0032848205402417484,0.002,0.8694340302334225,0.9991482402852644,0.9147053999827217,0.9340361777614499,0.99891227011762,0.9633259850145373
0.0030559545962637893,0.002,0.8496175593785542,0.9990649989091784,0.893158341903625,0.9223598269563578,0.9987825968304405,0.9553700896463082
0.0031462314098494766,0.002,0.8698723052163269,0.9995796804592422,0.9095916030079737,0.9525082928360713,0.9996615975670973,0.9736115875884042
0.0029212842137956853,0.002,0.8419131766099182,0.9990428884549845,0.8832088768893985,0.8989490049974479,0.9987487092018181,0.9354949716060538
0.0028978179245731416,0.0018000000000000002,0.8868129837751046,0.9984239401807276,0.9253295615900128,0.9569322395693551,0.996870615104879,0.9745008368570082
0.0029445661996968715,0.0018000000000000002,0.8461743326957379,0.9988413205122786,0.8917880596065478,0.8865594087432659,0.9985949876748237,0.9268493072812722
0.0027879270495745835,0.0018000000000000002,0.8672176827187856,0.9992184881274766,0.9118532315591215,0.9187921143210059,0.9990298055659684,0.9519655281942419
0.0030217204783633887,0.0018000000000000002,0.8803939000477491,0.9995582606224827,0.9206837823576108,0.9540088729594691,0.9996201305815,0.9743634411812664
