feature_idx,feature_name,importance,rank,importance_pct,cumulative_importance_pct
0,ACK Flag Cnt,0.3249717019286133,1,32.49717019286133,32.49717019286133
41,Fwd Seg Size Avg,0.14848088219267927,2,14.848088219267927,47.34525841212926
53,Pkt Len Std,0.11216593815604056,3,11.216593815604057,58.56185222773332
11,Bwd Pkt Len Max,0.1058363944277758,4,10.58363944277758,69.14549167051089
50,Pkt Len Max,0.0667018800057257,5,6.67018800057257,75.81567967108346
63,Tot Bwd Pkts,0.0395171155792461,6,3.95171155792461,79.76739122900807
39,Fwd Pkt Len Std,0.03735351367482504,7,3.735351367482504,83.50274259649058
13,Bwd Pkt Len Min,0.031471624505607344,8,3.1471624505607343,86.6499050470513
66,TotLen Fwd Pkts,0.023672914037134535,9,2.3672914037134536,89.01719645076476
56,Protocol,0.02350883923816412,10,2.350883923816412,91.36808037458117
55,Pkt Size Avg,0.019514006558273143,11,1.9514006558273143,93.31948103040848
32,Fwd IAT Min,0.011064370370959972,12,1.106437037095997,94.42591806750448
43,Idle Max,0.008566693759912541,13,0.8566693759912541,95.28258744349574
6,Bwd IAT Max,0.007492751115564982,14,0.7492751115564982,96.03186255505224
28,Fwd Act Data Pkts,0.005620594628993777,15,0.5620594628993777,96.59392201795163
14,Bwd Pkt Len Std,0.004867870530240149,16,0.4867870530240149,97.08070907097564
24,Flow IAT Mean,0.0042521971414204605,17,0.42521971414204607,97.50592878511769
21,Flow Byts/s,0.003906818284096237,18,0.39068182840962373,97.89661061352732
49,PSH Flag Cnt,0.0036928937253983335,19,0.36928937253983335,98.26589998606715
51,Pkt Len Mean,0.0035904863075856223,20,0.35904863075856225,98.62494861682572
36,Fwd Pkt Len Max,0.0022899999715209284,21,0.22899999715209285,98.8539486139778
34,Fwd IAT Tot,0.002138404823084348,22,0.2138404823084348,99.06778909628625
23,Flow IAT Max,0.0019764372370820677,23,0.19764372370820676,99.26543281999446
54,Pkt Len Var,0.001687016140003192,24,0.1687016140003192,99.43413443399477
3,Active Min,0.0014078584741598892,25,0.14078584741598893,99.57492028141075
12,Bwd Pkt Len Mean,0.0008457156480827857,26,0.08457156480827857,99.65949184621903
15,Bwd Pkts/s,0.0005015240061135321,27,0.05015240061135322,99.70964424683038
62,Subflow Fwd Pkts,0.00043586161302487306,28,0.043586161302487304,99.75323040813286
5,Bwd Header Len,0.00042187996349579953,29,0.042187996349579954,99.79541840448245
45,Idle Min,0.0003642203266917418,30,0.03642203266917418,99.83184043715163
52,Pkt Len Min,0.0003454382555419814,31,0.03454382555419814,99.86638426270582
7,Bwd IAT Mean,0.00030768025634510693,32,0.030768025634510695,99.89715228834034
48,Init Fwd Win Byts,0.00022999914022742306,33,0.022999914022742308,99.92015220236308
10,Bwd IAT Tot,0.00019095296287857062,34,0.019095296287857062,99.93924749865094
19,ECE Flag Cnt,0.00013438347520779197,35,0.013438347520779197,99.95268584617172
60,Subflow Bwd Pkts,0.00013102736829050555,36,0.013102736829050554,99.96578858300077
29,Fwd Header Len,0.00012413095978177507,37,0.012413095978177507,99.97820167897895
38,Fwd Pkt Len Min,0.00011000665492515243,38,0.011000665492515244,99.98920234447147
27,Flow Pkts/s,4.449770498225569e-05,39,0.004449770498225569,99.99365211496969
18,Dst Port,3.477831037387234e-05,40,0.0034778310373872337,99.99712994600708
35,Fwd PSH Flags,1.957890239811904e-05,41,0.001957890239811904,99.99908783624689
17,Down/Up Ratio,9.052937033622086e-06,42,0.0009052937033622086,99.99999312995025
40,Fwd Pkts/s,6.793137812820999e-08,43,6.793137812820998e-06,99.99999992308807
30,Fwd IAT Max,7.691194439303602e-10,44,7.691194439303602e-08,100.00000000000001
2,Active Mean,0.0,45,0.0,100.00000000000001
1,Active Max,0.0,46,0.0,100.00000000000001
8,Bwd IAT Min,0.0,47,0.0,100.00000000000001
9,Bwd IAT Std,0.0,48,0.0,100.00000000000001
22,Flow Duration,0.0,49,0.0,100.00000000000001
20,FIN Flag Cnt,0.0,50,0.0,100.00000000000001
4,Active Std,0.0,51,0.0,100.00000000000001
16,Bwd Seg Size Avg,0.0,52,0.0,100.00000000000001
33,Fwd IAT Std,0.0,53,0.0,100.00000000000001
31,Fwd IAT Mean,0.0,54,0.0,100.00000000000001
25,Flow IAT Min,0.0,55,0.0,100.00000000000001
26,Flow IAT Std,0.0,56,0.0,100.00000000000001
37,Fwd Pkt Len Mean,0.0,57,0.0,100.00000000000001
44,Idle Mean,0.0,58,0.0,100.00000000000001
47,Init Bwd Win Byts,0.0,59,0.0,100.00000000000001
42,Fwd Seg Size Min,0.0,60,0.0,100.00000000000001
46,Idle Std,0.0,61,0.0,100.00000000000001
59,Subflow Bwd Byts,0.0,62,0.0,100.00000000000001
57,RST Flag Cnt,0.0,63,0.0,100.00000000000001
58,SYN Flag Cnt,0.0,64,0.0,100.00000000000001
61,Subflow Fwd Byts,0.0,65,0.0,100.00000000000001
64,Tot Fwd Pkts,0.0,66,0.0,100.00000000000001
65,TotLen Bwd Pkts,0.0,67,0.0,100.00000000000001
67,URG Flag Cnt,0.0,68,0.0,100.00000000000001
