loss,lr,val_0_unsup_loss_numpy
0.7672824030074181,0.02,0.76919425
0.6839864251988127,0.02,0.70835686
0.67416896730837,0.02,0.72435105
0.6683307125774449,0.02,0.7233775
1.1081381957410648,0.02,0.73383915
0.6553075002801819,0.02,0.98325825
0.6511965756689011,0.02,0.7200784
0.6482588497592946,0.02,0.6944799
0.6450155122131666,0.02,0.695115
0.6435161756814551,0.02,0.714386
0.6406491369204723,0.02,5.8076596
0.6382065304749627,0.02,3.7578082
1.6410754456567211,0.02,0.7120821
0.6358975874472839,0.02,16.246124
0.6333123013372206,0.02,10.350616
0.6316399140284904,0.02,0.7234051
0.6322555742265006,0.02,0.7128603
0.6313764574197207,0.02,0.692759
4.144073849128573,0.02,0.7168195
0.6295108512791805,0.02,0.83081436
0.6305060951983128,0.02,6.088789
0.628413281606851,0.02,46.78066
0.6256580507705497,0.02,301.25293
1.540244452925446,0.02,21.76425
0.6231634069309038,0.02,0.70254403
0.6244146812113226,0.02,8.071956
5.7546620316624635,0.02,498.93777
0.6215669088345577,0.02,0.7977679
0.622101396811466,0.02,0.7209311
0.6230972191798664,0.02,0.711045
0.6198118968484781,0.02,5.0051513
5.3496987185235065,0.02,0.7289275
0.6218387982614548,0.02,0.7206364
