epoch,loss,lr,val_0_unsup_loss_numpy
0,0.7672824030074181,0.02,0.76919425
1,0.6839864251988127,0.02,0.70835686
2,0.67416896730837,0.02,0.72435105
3,0.6683307125774449,0.02,0.7233775
4,1.1081381957410648,0.02,0.73383915
5,0.6553075002801819,0.02,0.98325825
6,0.6511965756689011,0.02,0.7200784
7,0.6482588497592946,0.02,0.6944799
8,0.6450155122131666,0.02,0.695115
9,0.6435161756814551,0.02,0.714386
10,0.6406491369204723,0.02,5.8076596
11,0.6382065304749627,0.02,3.7578082
12,1.6410754456567211,0.02,0.7120821
13,0.6358975874472839,0.02,16.246124
14,0.6333123013372206,0.02,10.350616
15,0.6316399140284904,0.02,0.7234051
16,0.6322555742265006,0.02,0.7128603
17,0.6313764574197207,0.02,0.692759
18,4.144073849128573,0.02,0.7168195
19,0.6295108512791805,0.02,0.83081436
20,0.6305060951983128,0.02,6.088789
21,0.628413281606851,0.02,46.78066
22,0.6256580507705497,0.02,301.25293
23,1.540244452925446,0.02,21.76425
24,0.6231634069309038,0.02,0.70254403
25,0.6244146812113226,0.02,8.071956
26,5.7546620316624635,0.02,498.93777
27,0.6215669088345577,0.02,0.7977679
28,0.622101396811466,0.02,0.7209311
29,0.6230972191798664,0.02,0.711045
30,0.6198118968484781,0.02,5.0051513
31,5.3496987185235065,0.02,0.7289275
32,0.6218387982614548,0.02,0.7206364
